0.000000000000000000e+00 2.828427124746190291e+00
7.000000000000000000e+00 3.791461457585711403e-01
1.500000000000000000e+01 3.868999496504108015e-01
2.300000000000000000e+01 3.847204650759068478e-01
3.000000000000000000e+01 3.819811471728122299e-01
3.800000000000000000e+01 3.689591988927626298e-01
4.600000000000000000e+01 3.442111709845671053e-01
5.300000000000000000e+01 3.136866844215084327e-01
6.100000000000000000e+01 2.698310112433615626e-01
6.900000000000000000e+01 2.313501825526630418e-01
7.600000000000000000e+01 2.276679123999976462e-01
8.400000000000000000e+01 2.172691584306341017e-01
9.200000000000000000e+01 2.005988073259445947e-01
9.900000000000000000e+01 1.812873255347501877e-01
1.070000000000000000e+02 1.544432790854239068e-01
1.150000000000000000e+02 1.233031372031558742e-01
1.220000000000000000e+02 9.325660293671904355e-02
1.300000000000000000e+02 5.660554627627781971e-02
1.380000000000000000e+02 2.326712811810332723e-02
1.450000000000000000e+02 2.300415685970781665e-02
1.530000000000000000e+02 2.214716694588572676e-02
1.610000000000000000e+02 2.071854785814325126e-02
1.680000000000000000e+02 1.902855428309328800e-02
1.760000000000000000e+02 1.663954132803877745e-02
1.840000000000000000e+02 1.382231233829019079e-02
1.910000000000000000e+02 1.106314721958650583e-02
1.990000000000000000e+02 7.646941623704484742e-03
2.070000000000000000e+02 4.034869759075248793e-03
2.140000000000000000e+02 7.864416915484254318e-04
2.220000000000000000e+02 1.467152722748269595e-04
2.300000000000000000e+02 1.432081911165531134e-04
2.370000000000000000e+02 1.371380818653856733e-04
2.450000000000000000e+02 1.269295819108311706e-04
2.530000000000000000e+02 1.134838932416156674e-04
2.600000000000000000e+02 9.933110221894400410e-05
2.680000000000000000e+02 8.079817822627586806e-05
2.760000000000000000e+02 6.020454237128795204e-05
2.830000000000000000e+02 4.090652978207982973e-05
2.910000000000000000e+02 1.789581618988958026e-05
2.990000000000000000e+02 2.632357494667215645e-06
3.060000000000000000e+02 2.595636755122554870e-06
3.140000000000000000e+02 2.491661114705298477e-06
3.220000000000000000e+02 2.324134220110749930e-06
3.290000000000000000e+02 2.128737457621513683e-06
3.370000000000000000e+02 1.854760694440619071e-06
3.450000000000000000e+02 1.533477203293991169e-06
3.520000000000000000e+02 1.219964074421370815e-06
3.600000000000000000e+02 8.328571436650138987e-07
3.680000000000000000e+02 4.245077266081314774e-07
3.760000000000000000e+02 5.331183746957594702e-09
