kkt_passes fraction_solved
15250.0 0.0026455026455026454
25862.0 0.005291005291005291
27209.0 0.007936507936507936
127209.0 0.007936507936507936
128482.0 0.010582010582010581
129525.0 0.013227513227513227
140598.0 0.015873015873015872
140799.0 0.018518518518518517
141086.0 0.021164021164021163
159450.0 0.023809523809523808
160294.0 0.026455026455026454
160793.0 0.0291005291005291
170474.0 0.031746031746031744
174655.0 0.03439153439153439
175746.0 0.037037037037037035
201018.0 0.03968253968253968
301018.0 0.03968253968253968
301309.0 0.042328042328042326
335919.0 0.04497354497354497
340204.0 0.047619047619047616
340204.0 0.05026455026455026
344280.0 0.05291005291005291
344735.0 0.05555555555555555
345943.0 0.0582010582010582
345943.0 0.06084656084656084
349587.0 0.06349206349206349
449587.0 0.06349206349206349
497494.0 0.06613756613756613
498217.0 0.06878306878306878
498951.0 0.07142857142857142
598951.0 0.07142857142857142
606685.0 0.07407407407407407
610126.0 0.07671957671957672
610871.0 0.07936507936507936
614905.0 0.082010582010582
616013.0 0.08465608465608465
628128.0 0.0873015873015873
632853.0 0.08994708994708994
634351.0 0.09259259259259259
686417.0 0.09523809523809523
686417.0 0.09788359788359788
689422.0 0.10052910052910052
692304.0 0.10317460317460317
792304.0 0.10317460317460317
794309.0 0.10582010582010581
807814.0 0.10846560846560846
808341.0 0.1111111111111111
809672.0 0.11375661375661375
810614.0 0.1164021164021164
810660.0 0.1164021164021164
910660.0 0.1164021164021164
940743.0 0.11904761904761904
940947.0 0.12169312169312169
943200.0 0.12433862433862433
983544.0 0.12698412698412698
1083544.0 0.12698412698412698
1087792.0 0.12962962962962962
1092483.0 0.13227513227513227
1095685.0 0.1349206349206349
1114413.0 0.13756613756613756
1116396.0 0.1402116402116402
1116478.0 0.14285714285714285
1128033.0 0.1455026455026455
1132134.0 0.14814814814814814
1132495.0 0.15079365079365079
1132495.0 0.15343915343915343
1136260.0 0.15608465608465608
1137822.0 0.15873015873015872
1154848.0 0.16137566137566137
1155497.0 0.164021164021164
1155599.0 0.16666666666666666
1156163.0 0.1693121693121693
1160759.0 0.17195767195767195
1160759.0 0.1746031746031746
1161365.0 0.17724867724867724
1261365.0 0.17724867724867724
1266782.0 0.17989417989417988
1266782.0 0.18253968253968253
1271192.0 0.18518518518518517
1273006.0 0.18783068783068782
1273249.0 0.19047619047619047
1273580.0 0.1931216931216931
1274224.0 0.19576719576719576
1274520.0 0.1984126984126984
1274761.0 0.20105820105820105
1276126.0 0.2037037037037037
1277382.0 0.20634920634920634
1277944.0 0.20899470899470898
1277944.0 0.21164021164021163
1303855.0 0.21428571428571427
1304219.0 0.21693121693121692
1306823.0 0.21957671957671956
1406823.0 0.21957671957671956
1415233.0 0.2222222222222222
1415275.0 0.22486772486772486
1429083.0 0.2275132275132275
1435207.0 0.23015873015873015
1435312.0 0.2328042328042328
1446783.0 0.23544973544973544
1446783.0 0.23809523809523808
1546783.0 0.23809523809523808
1546825.0 0.24074074074074073
1548191.0 0.24338624338624337
1549880.0 0.24603174603174602
1551404.0 0.24867724867724866
1552934.0 0.25132275132275134
1563399.0 0.25396825396825395
1563760.0 0.2566137566137566
1584246.0 0.25925925925925924
1684246.0 0.25925925925925924
1696195.0 0.2619047619047619
1796195.0 0.2619047619047619
1813593.0 0.26455026455026454
1817442.0 0.2671957671957672
1819528.0 0.2698412698412698
1819768.0 0.2724867724867725
1822606.0 0.2751322751322751
1822606.0 0.2777777777777778
1823342.0 0.2804232804232804
1866685.0 0.2830687830687831
1869703.0 0.2857142857142857
1870632.0 0.28835978835978837
1870740.0 0.291005291005291
1872666.0 0.29365079365079366
1876577.0 0.2962962962962963
1879847.0 0.29894179894179895
1881251.0 0.30158730158730157
1883143.0 0.30423280423280424
1884557.0 0.30687830687830686
1885038.0 0.30952380952380953
1885561.0 0.31216931216931215
1887244.0 0.3148148148148148
1887325.0 0.31746031746031744
1887529.0 0.3201058201058201
1889729.0 0.32275132275132273
1890362.0 0.3253968253968254
1890966.0 0.328042328042328
1892511.0 0.3306878306878307
1894073.0 0.3333333333333333
1947021.0 0.335978835978836
2047021.0 0.335978835978836
2047382.0 0.3386243386243386
2047503.0 0.3412698412698413
2054947.0 0.3439153439153439
2083381.0 0.34656084656084657
2085776.0 0.3492063492063492
2095657.0 0.35185185185185186
2097729.0 0.3544973544973545
2113325.0 0.35714285714285715
2113371.0 0.35714285714285715
2116349.0 0.35978835978835977
2122666.0 0.36243386243386244
2122666.0 0.36507936507936506
2123397.0 0.36772486772486773
2223397.0 0.36772486772486773
2223961.0 0.37037037037037035
2224422.0 0.373015873015873
2232698.0 0.37566137566137564
2234256.0 0.3783068783068783
2234913.0 0.38095238095238093
2242456.0 0.3835978835978836
2242456.0 0.3862433862433862
2243543.0 0.3888888888888889
2243786.0 0.3915343915343915
2245635.0 0.3941798941798942
2247293.0 0.3968253968253968
2264356.0 0.3994708994708995
2264529.0 0.4021164021164021
2264776.0 0.40476190476190477
2264818.0 0.4074074074074074
2265715.0 0.41005291005291006
2365715.0 0.41005291005291006
2369782.0 0.4126984126984127
2469782.0 0.4126984126984127
2470881.0 0.41534391534391535
2472914.0 0.41798941798941797
2473785.0 0.42063492063492064
2473867.0 0.42328042328042326
2474910.0 0.42592592592592593
2476788.0 0.42857142857142855
2576788.0 0.42857142857142855
2577031.0 0.4312169312169312
2577797.0 0.43386243386243384
2586832.0 0.4365079365079365
2587402.0 0.43915343915343913
2590779.0 0.4417989417989418
2594066.0 0.4444444444444444
2598048.0 0.4470899470899471
2603066.0 0.4497354497354497
